Keyword;Tablica;Typ frazy;Intent;Traffic proxy (1-10);Commercial (1-10);Product value (1-10);Seasonality (1-5);Priority score;Priorytet;Pinterest search URL;Evidence/source;Brand;Creative System;Default Layout Set;Recommended Pin Structures;Color Palette
organizacja domu;Organizacja domu;Core;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=organizacja%20domu;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja mieszkania;Organizacja domu;Core;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=organizacja%20mieszkania;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja przestrzeni;Organizacja domu;Core;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=organizacja%20przestrzeni;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
jak zorganizować dom;Organizacja domu;Core;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=jak%20zorganizowa%C4%87%20dom;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
jak uporządkować dom;Organizacja domu;Core;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=jak%20uporz%C4%85dkowa%C4%87%20dom;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
pomysły na organizację domu;Organizacja domu;Long-tail;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=pomys%C5%82y%20na%20organizacj%C4%99%20domu;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja domu inspiracje;Organizacja domu;Core;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=organizacja%20domu%20inspiracje;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja domu krok po kroku;Organizacja domu;Long-tail;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=organizacja%20domu%20krok%20po%20kroku;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja domu małym kosztem;Organizacja domu;Long-tail;Informacyjna;10;9;7;3;8.25;P2;https://pl.pinterest.com/search/pins/?q=organizacja%20domu%20ma%C5%82ym%20kosztem;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja domu minimalistyczna;Organizacja domu;Core;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=organizacja%20domu%20minimalistyczna;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja domu dla początkujących;Organizacja domu;Long-tail;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=organizacja%20domu%20dla%20pocz%C4%85tkuj%C4%85cych;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
system organizacji domu;Organizacja domu;Core;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=system%20organizacji%20domu;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
plan organizacji domu;Organizacja domu;Core;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=plan%20organizacji%20domu;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
strefy w domu;Organizacja domu;Core;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=strefy%20w%20domu;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja rzeczy w domu;Organizacja domu;Long-tail;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=organizacja%20rzeczy%20w%20domu;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja przedpokoju;Organizacja domu;Core;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=organizacja%20przedpokoju;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja wejścia do domu;Organizacja domu;Long-tail;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=organizacja%20wej%C5%9Bcia%20do%20domu;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja korytarza;Organizacja domu;Core;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=organizacja%20korytarza;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja schowka;Organizacja domu;Core;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=organizacja%20schowka;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja spiżarni;Organizacja domu;Core;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=organizacja%20spi%C5%BCarni;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja pralni;Organizacja domu;Core;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=organizacja%20pralni;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
