Keyword;Tablica;BloggerLabel;Typ frazy;Intent;Priority score;Priorytet
dekoracje półki;Dekoracje wnętrz;Dekoracje wnętrz;Long-tail;Komercyjna;9.15;P1
meble do małego mieszkania;Małe mieszkanie;Małe mieszkanie;Long-tail;Komercyjna;9.05;P1
wielofunkcyjne meble do małego mieszkania;Małe mieszkanie;Małe mieszkanie;Long-tail;Komercyjna;9.05;P1
gadżety do małego mieszkania;Produkty do domu;Produkty do domu;Long-tail;Komercyjna;8.95;P1
produkty do małego mieszkania;Produkty do domu;Produkty do domu;Long-tail;Komercyjna;8.95;P1
produkty do małej kuchni;Produkty do domu;Produkty do domu;Long-tail;Komercyjna;8.95;P1
produkty do małej łazienki;Produkty do domu;Produkty do domu;Long-tail;Komercyjna;8.95;P1
funkcjonalna mała kuchnia;Organizacja kuchni;Organizacja kuchni;Core;Informacyjna;8.8;P1
garderoba w małym mieszkaniu;Organizacja szafy i garderoby;Szafa i garderoba;Long-tail;Informacyjna;8.8;P1
mała garderoba;Organizacja szafy i garderoby;Szafa i garderoba;Core;Informacyjna;8.8;P1
mała szafa pomysły;Organizacja szafy i garderoby;Szafa i garderoba;Core;Informacyjna;8.8;P1
organizacja garderoby małym kosztem;Organizacja szafy i garderoby;Szafa i garderoba;Long-tail;Informacyjna;8.8;P1
organizacja kuchni małym kosztem;Organizacja kuchni;Organizacja kuchni;Long-tail;Informacyjna;8.8;P1
organizacja małej kuchni;Organizacja kuchni;Organizacja kuchni;Core;Informacyjna;8.8;P1
organizacja małej spiżarni;Organizacja kuchni;Organizacja kuchni;Core;Informacyjna;8.8;P1
organizacja małej szafki kuchennej;Organizacja kuchni;Organizacja kuchni;Long-tail;Informacyjna;8.8;P1
organizacja małej szafy;Organizacja szafy i garderoby;Szafa i garderoba;Core;Informacyjna;8.8;P1
pomysły na przechowywanie w małym mieszkaniu;Przechowywanie i organizacja;Przechowywanie i organizacja;Long-tail;Informacyjna;8.8;P1
przechowywanie w małym mieszkaniu;Przechowywanie i organizacja;Przechowywanie i organizacja;Long-tail;Informacyjna;8.8;P1
